Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "isolation_board_revb2_v2.brd" as of: 2/10/16 12:31 PM
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
ADUM4401-W,Top,0.950,1.820,180
ADUM4401-X,Top,2.140,1.780,180
ADUM4401-Y,Top,3.330,1.790,180
ADUM4401-Z,Top,4.540,1.770,180
ADUM6000-W,Top,0.300,1.790,180
ADUM6000-X,Top,1.550,1.790,180
ADUM6000-Y,Top,2.750,1.790,180
ADUM6000-Z,Top,3.950,1.740,180
C1,Top,0.460,2.200,0
C2,Top,0.460,2.090,0
C3,Top,0.150,1.470,0
C4,Top,0.150,1.340,0
C5,Top,1.220,2.080,180
C6,Top,1.050,1.390,180
C7,Top,2.250,1.390,180
C8,Top,2.290,2.070,180
C9,Top,1.700,2.180,0
C10,Top,1.700,2.080,0
C11,Top,1.400,1.460,0
C12,Top,1.400,1.310,0
C13,Top,3.450,1.390,180
C14,Top,3.390,2.160,180
C15,Top,2.920,2.180,0
C16,Top,2.920,2.070,0
C17,Top,2.620,1.460,0
C18,Top,2.620,1.330,0
C19,Top,4.670,1.400,180
C20,Top,4.680,2.150,180
C21,Top,3.820,2.140,0
C22,Top,3.820,2.040,0
C23,Top,3.820,1.420,0
C24,Top,3.820,1.310,0
C25,Top,4.080,1.300,180
C26,Top,4.080,1.420,180
C27,Top,0.160,2.080,180
C28,Top,0.160,2.190,180
C29,Top,2.880,1.330,180
C30,Top,2.880,1.460,180
C31,Top,1.420,2.080,180
C32,Top,1.420,2.180,180
C33,Top,1.620,1.310,180
C34,Top,1.620,1.460,180
C35,Top,2.620,2.070,180
C36,Top,2.620,2.180,180
C37,Top,0.420,1.350,180
C38,Top,0.420,1.470,180
C39,Top,4.100,2.040,180
C40,Top,4.100,2.140,180
C41,Top,3.420,2.490,0
C42,Top,3.400,2.670,0
CONN,Top,2.420,0.380,180
OMNETICS-CONNECTOR-SLAVE-W,Top,1.151,2.770,0
OMNETICS-CONNECTOR-SLAVE-X,Top,1.551,2.770,0
OMNETICS-CONNECTOR-SLAVE-Y,Top,1.951,2.770,0
OMNETICS-CONNECTOR-SLAVE-Z,Top,2.351,2.770,0
SN65LVDT41-W,Top,0.650,1.240,180
SN65LVDT41-X,Top,1.850,1.240,180
SN65LVDT41-Y,Top,3.350,1.170,180
SN65LVDT41-Z,Top,4.300,1.240,180
SNDLVDT14-W,Top,1.120,2.490,180
SNDLVDT14-X,Top,1.560,2.490,180
SNDLVDT14-Y,Top,1.980,2.490,180
SNDLVDT14-Z,Top,2.370,2.490,180
U$1,Top,3.830,2.580,270
